stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
10071,RESFL,Résidence les Fleurs,,+41.940728,+08.750345,1,
20119,RESFL1,Résidence les Fleurs,,+41.940894,+08.750334,0,10071
10072,CLGIO,Collège Giovoni,,+41.941767,+08.748369,1,
20120,CLGIO1,Collège Giovoni,,+41.941775,+08.748039,0,10072
10073,RCLYA,Rocade Lyautey,,+41.941338,+08.746854,1,
20121,RCLYA1,Rocade Lyautey,,+41.941401,+08.746835,0,10073
10074,LEPFI,LEP Finosello,,+41.939192,+08.745623,1,
20122,LEPFI1,LEP Finosello,,+41.939238,+08.745601,0,10074
10075,MRLYA,Maréchal Lyautey,,+41.937284,+08.744667,1,
20123,MRLYA1,Maréchal Lyautey,,+41.937379,+08.744638,0,10075
10167,CLSTP,Collège Lycée Saint Paul,,+41.934689,+08.744943,1,
20285,CLSTP1,Collège Lycée Saint Paul,,+41.934668,+08.744904,0,10167
20297,CLSTP2,Collège Lycée Saint Paul,,+41.934710,+08.744982,0,10167
20126,MRLYA2,Maréchal Lyautey,,+41.937190,+08.744697,0,10075
20127,LEPFI2,LEP Finosello,,+41.939146,+08.745646,0,10074
20128,RCLYA2,Rocade Lyautey,,+41.941276,+08.746874,0,10073
20129,CLGIO2,Collège Giovoni,,+41.941760,+08.748699,0,10072
20130,RESFL2,Résidence les Fleurs,,+41.940562,+08.750356,0,10071
20131,RESCA2,Résidence Candia,,+41.939103,+08.750775,0,10070
20132,PISCA2,Piscine Caneton,,+41.937606,+08.750780,0,10069
20133,MRJUI2,Maréchal Juin,,+41.935071,+08.751172,0,10068
20134,LEPAN3,LEP Antonini,,+41.935248,+08.754122,0,10060
20135,BELHO2,Bel Horizonte,,+41.935946,+08.756085,0,10067
20136,MTTHA2,Mont Thabor,,+41.936892,+08.757787,0,10066
20137,RESPI2,Résidence Les Pins,,+41.936964,+08.759916,0,10065
20138,CODPI2,Collines de Pietralba,,+41.937738,+08.762496,0,10064
10076,BUDIC,Budiccione,,+41.947848,+08.753415,1,
20139,BUDIC1,Budiccione,,+41.947848,+08.753415,0,10076
10077,CARDO,Cardo,,+41.946424,+08.754025,1,
20140,CARDO1,Cardo,,+41.946424,+08.754025,0,10077
