stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
StationEntrance:59505-IO6,,1|av. Victor Hugo,,2.243889,48.833962,,,2,stop_area:59505,,,0,
StationEntrance:59505-IO7,,4|r. des Quatre Cheminées,,2.243099,48.833357,,,2,stop_area:59505,,,0,
StationEntrance:59506-IO0,,5|pl. du Marché,,2.433512,48.857687,,,2,stop_area:59506,,,0,
StationEntrance:59506-IO1,,2|r. de Paris,,2.435536,48.858075,,,2,stop_area:59506,,,0,
StationEntrance:59506-IO2,,1|pl. Jacques Duclos,,2.435537,48.857765,,,2,stop_area:59506,,,0,
StationEntrance:59506-IO3,,3|bd de Chanzy (Centre Commercial),,2.436346,48.858461,,,2,stop_area:59506,,,0,
StationEntrance:59506-IO4,,4|r. Kléber,,2.436735,48.857753,,,2,stop_area:59506,,,0,
StationEntrance:59507-IO0,,5|bd Paul Vaillant-Couturier,,2.441814,48.862809,,,2,stop_area:59507,,,0,
StationEntrance:59507-IO1,,1|sq. Jean Jaurès,,2.441687,48.862125,,,2,stop_area:59507,,,0,
StationEntrance:59507-IO2,,3|bd Rouget de Lisle,,2.441118,48.861964,,,2,stop_area:59507,,,0,
StationEntrance:59507-IO3,,4|av. Pasteur,,2.441264,48.862696,,,2,stop_area:59507,,,0,
StationEntrance:59507-IO4,,2|av. Walwein,,2.441932,48.862477,,,2,stop_area:59507,,,0,
StationEntrance:59508-IO0,,1|r. Robespierre,,2.421608,48.855319,,,2,stop_area:59508,,,0,
StationEntrance:59508-IO1,,1|r. Robespierre,,2.421901,48.855438,,,2,stop_area:59508,,,0,
StationEntrance:59508-IO2,,2|r. Barbès,,2.424033,48.855993,,,2,stop_area:59508,,,0,
StationEntrance:59509-IO0,,0|Rue des Volontaires,,2.307844,48.841713,,,2,stop_area:59509,,,0,
StationEntrance:59509-IO1,,0|Rue de Vaugirard,,2.308003,48.841585,,,2,stop_area:59509,,,0,
StationEntrance:59510-IO0,,2|bd Raspail,,2.327692,48.848459,,,2,stop_area:59510,,,0,
StationEntrance:59510-IO1,,1|r. de Rennes,,2.32777,48.848184,,,2,stop_area:59510,,,0,
StationEntrance:59511-IO0,,0|NR,,2.32561,48.85568,,,2,stop_area:59511,,,0,
StationEntrance:59511-IO1,,0|NR,,2.32568,48.855437,,,2,stop_area:59511,,,0,
StationEntrance:59512-IO0,,2|r. Notre-Dame de Lorette,,2.337304,48.878312,,,2,stop_area:59512,,,0,
StationEntrance:59512-IO1,,1|pl. Saint-Georges,,2.337805,48.878486,,,2,stop_area:59512,,,0,
StationEntrance:59513-IO0,,2|r.de la Chapelle,,2.359351,48.897602,,,2,stop_area:59513,,,0,
StationEntrance:59513-IO1,,3|r. Raymond Queneau,,2.359425,48.896786,,,2,stop_area:59513,,,0,
StationEntrance:59513-IO2,,1|bd Ney,,2.358912,48.898091,,,2,stop_area:59513,,,0,
StationEntrance:59513-IO3,,4|rd-pt de la Chapelle,,2.358996,48.896781,,,2,stop_area:59513,,,0,
StationEntrance:59514-IO0,,5|bd Lefebvre,,2.288932,48.832189,,,2,stop_area:59514,,,0,
