trip_id,route_id,physical_mode_id,dataset_id,service_id,trip_headsign,trip_short_name,block_id,company_id,trip_property_id,geometry_id,journey_pattern_id
113498051-1_175511,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113560389-1_18709,810:B,Train,default_dataset,1000,ERTE,,,741,1,,
113243936-1_209281,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113503083-1_200845,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113252133-1_202018,100110012:12,Metro,default_dataset,1000,Front Populaire,,,439,,,
113498187-1_175647,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113559377-1_24163,800:D,Train,default_dataset,1000,ZACO,,,741,1,,
113243333-1_208611,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113573306-1_12912,800:E,Train,default_dataset,1000,VOHE,,,741,1,,
113253015-1_203060,100110012:12_R,Metro,default_dataset,1000,Mairie d'Issy,,,439,,,
113707975-1_213625,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113243906-1_209251,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113574643-1_28499,800:C:Bus,Bus,default_dataset,1000,GARE DE VERSAILLES CHATEAU - RIVE GAUCHE,,,741,1,,
113480604-1_176959,100110001:1,Metro,default_dataset,1000,La Défense (Grande Arche),,,439,,,
113503026-1_200788,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113483645-1_195666,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113497112-1_174674,100110011:11,Metro,default_dataset,1000,Châtelet,,,439,,,
113503817-1_206668,100110103:3B,Metro,default_dataset,1000,Gambetta,,,439,,,
113758298-1_204751,100110013:13,Metro,default_dataset,1000,Saint-Denis-Université,,,439,,,
113489950-1_217395,100110005:5,Metro,default_dataset,1000,Place d'Italie,,,439,,,
113753078-1_197451,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113483928-1_195897,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113391436-1_177167,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113400580-1_195017,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113708137-1_213688,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113482596-1_194304,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113755550-1_214741,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113481359-1_178060,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113503044-1_200806,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113482534-1_194242,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
113753364-1_198261,100110003:3_R,Metro,default_dataset,1000,Gallieni (Parc de Bagnolet),,,439,,,
113243341-1_208619,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113491048-1_218628,100110005:5_R,Metro,default_dataset,1000,Bobigny-Pablo-Picasso,,,439,,,
113244611-1_209707,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113244002-1_209347,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113501705-1_199511,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113502988-1_200750,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113555438-1_17126,810:B,Train,default_dataset,1000,KOCQ,,,741,1,,
113564254-1_21040,810:A,Train,default_dataset,1000,NICO,,,741,1,,
113504367-1_207509,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
113483903-1_195896,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113252196-1_202081,100110012:12,Metro,default_dataset,1000,Front Populaire,,,439,,,
113198235-1_201328,100110012:12,Metro,default_dataset,1000,Front Populaire,,,439,,,
113586473-1_22706,800:D,Train,default_dataset,1000,JAVA,,,741,1,,
113400513-1_193644,100110002:2,Metro,default_dataset,1000,Porte Dauphine (Maréchal de Lattre de Tassigny),,,439,,,
